id,title,category,details
1,Pitta-Pacifying Diet,Dietary,"Avoid spicy, fermented, fried foods, and salt. Favor rice, oatmeal, and applesauce."
2,Herbal Mixture for Acne,Herbal,"Mixture of equal proportions of kutki, guduchi, and shatavari."
